                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9182,                 3.6065,                 1.3776,                0.97296,                0.98568,                0.99298,                0.87576,                0.55844,                0.82297,                 1.0136,                 0.0793,                 0.0023,                 0.0023
                      1,                0.64794,                0.64245,                 1.1249,                0.96916,                      1,                  0.995,                0.93095,                0.42277,                0.80548,                0.90762,               0.057607,              0.0046069,              0.0046069
                      2,                0.65883,                0.60054,                 1.1374,                0.97271,                0.97646,                0.99421,                0.92126,                0.44871,                0.62729,                0.92644,               0.035819,              0.0068188,              0.0068188
                      3,                0.69107,                0.58425,                  1.145,                      1,                0.95252,                0.99066,                0.90333,                0.54198,                0.60626,                0.97145,               0.013936,              0.0089357,              0.0089357
                      4,                 0.7082,                0.59168,                 1.1461,                0.99839,                 0.9863,                0.99473,                0.88157,                0.52887,                0.45605,                 1.0084,               0.009208,               0.009208,               0.009208
                      5,                0.71434,                0.58235,                 1.1238,                      1,                0.95863,                0.98726,                0.88512,                0.49379,                0.58787,                0.96767,               0.009208,               0.009208,               0.009208
                      6,                0.75263,                0.54726,                 1.1496,                0.95233,                 0.9726,                0.99078,                0.85735,                0.63521,                0.65783,                 1.0311,                0.00901,                0.00901,                0.00901
                      7,                0.78027,                0.55145,                 1.1717,                0.84981,                0.94521,                 0.9628,                0.79138,                0.60131,                 0.6402,                 1.0568,               0.008812,               0.008812,               0.008812
                      8,                0.70861,                0.50233,                  1.103,                0.98031,                      1,                0.99486,                 0.8794,                0.50946,                0.53113,                0.99902,               0.008614,               0.008614,               0.008614
                      9,                0.71758,                0.50557,                 1.1321,                0.94657,                0.97074,                0.99278,                0.91896,                0.47667,                0.44097,                0.92518,               0.008416,               0.008416,               0.008416
                     10,                0.74766,                0.50309,                 1.1314,                0.99801,                 0.9726,                0.99136,                 0.9121,                0.46037,                0.38238,                0.91798,               0.008218,               0.008218,               0.008218
                     11,                0.67945,                0.49431,                  1.111,                0.98645,                0.99743,                0.99486,                0.91292,                0.45332,                0.37874,                0.94801,                0.00802,                0.00802,                0.00802
                     12,                0.65984,                0.51027,                  1.104,                0.99754,                      1,                  0.995,                0.92156,                0.43473,                0.36574,                0.88936,               0.007822,               0.007822,               0.007822
                     13,                 0.7197,                 0.4738,                  1.116,                0.99937,                      1,                  0.995,                 0.9285,                0.44049,                0.37481,                 0.8905,               0.007624,               0.007624,               0.007624
                     14,                0.64214,                0.45909,                 1.1081,                0.99741,                      1,                  0.995,                0.93875,                 0.4292,                0.37314,                0.88684,               0.007426,               0.007426,               0.007426
                     15,                0.68987,                0.45866,                 1.1063,                0.99983,                      1,                  0.995,                0.91264,                0.44212,                0.40772,                0.89701,               0.007228,               0.007228,               0.007228
                     16,                0.67914,                0.48892,                 1.1211,                      1,                0.99573,                  0.995,                0.93042,                0.42876,                0.42287,                0.89823,                0.00703,                0.00703,                0.00703
                     17,                 0.6416,                0.45272,                 1.1155,                0.99722,                      1,                  0.995,                0.94392,                0.41323,                 0.3198,                0.86003,               0.006832,               0.006832,               0.006832
                     18,                0.66898,                0.47141,                 1.1159,                0.98489,                      1,                0.99486,                0.93699,                   0.39,                0.30796,                0.86228,               0.006634,               0.006634,               0.006634
                     19,                0.63571,                0.45075,                 1.0946,                0.98631,                0.98705,                0.99486,                0.92711,                0.38973,                 0.3133,                0.85077,               0.006436,               0.006436,               0.006436
                     20,                0.60971,                 0.4223,                 1.0661,                0.99859,                      1,                  0.995,                0.94224,                0.39377,                0.31138,                0.86205,               0.006238,               0.006238,               0.006238
                     21,                0.60163,                0.42387,                 1.0675,                0.99819,                      1,                  0.995,                 0.9381,                0.39332,                0.30769,                0.88699,                0.00604,                0.00604,                0.00604
                     22,                0.62573,                0.41815,                 1.0903,                0.99848,                      1,                  0.995,                0.93677,                0.40336,                0.32617,                0.85212,               0.005842,               0.005842,               0.005842
                     23,                0.60865,                0.41032,                 1.0564,                0.99844,                      1,                  0.995,                0.91933,                0.50896,                 0.3289,                0.92396,               0.005644,               0.005644,               0.005644
                     24,                0.61507,                0.42326,                 1.0731,                0.99913,                      1,                  0.995,                0.93191,                0.43628,                0.28159,                0.89423,               0.005446,               0.005446,               0.005446
                     25,                0.59764,                0.42127,                 1.0807,                0.99921,                      1,                  0.995,                0.95002,                0.37519,                0.27254,                0.83979,               0.005248,               0.005248,               0.005248
                     26,                0.58437,                0.39808,                 1.0497,                0.99878,                      1,                  0.995,                0.92804,                0.39767,                 0.2844,                0.86273,                0.00505,                0.00505,                0.00505
                     27,                0.57976,                0.37926,                 1.0677,                0.99796,                      1,                  0.995,                0.94552,                0.36037,                0.24636,                0.83428,               0.004852,               0.004852,               0.004852
                     28,                0.59319,                0.38264,                 1.0579,                0.99341,                      1,                  0.995,                0.94107,                0.40004,                0.28491,                0.86137,               0.004654,               0.004654,               0.004654
                     29,                0.57035,                0.37496,                 1.0606,                0.99289,                 0.9863,                0.98527,                0.93357,                0.47051,                0.44649,                 0.8873,               0.004456,               0.004456,               0.004456
                     30,                0.58403,                0.37003,                 1.0633,                 0.9976,                      1,                  0.995,                0.96077,                 0.3384,                0.26805,                0.82103,               0.004258,               0.004258,               0.004258
                     31,                0.58516,                0.38973,                 1.0526,                0.99315,                      1,                  0.995,                0.95578,                0.36397,                0.26725,                0.83054,                0.00406,                0.00406,                0.00406
                     32,                0.56631,                0.37282,                  1.053,                0.99754,                 0.9863,                0.98666,                0.95751,                0.38196,                 0.3413,                0.83155,               0.003862,               0.003862,               0.003862
                     33,                0.55821,                0.36611,                 1.0518,                0.99744,                      1,                  0.995,                0.96018,                0.33451,                0.23008,                0.80385,               0.003664,               0.003664,               0.003664
                     34,                0.57851,                0.36437,                 1.0633,                0.99898,                      1,                  0.995,                 0.9641,                0.32875,                0.20847,                0.80146,               0.003466,               0.003466,               0.003466
                     35,                0.54925,                 0.3541,                   1.04,                0.99876,                      1,                  0.995,                0.96241,                0.36007,                0.21694,                0.83042,               0.003268,               0.003268,               0.003268
                     36,                0.54687,                0.34065,                 1.0307,                 0.9987,                      1,                  0.995,                0.95781,                0.35664,                0.22366,                0.82236,                0.00307,                0.00307,                0.00307
                     37,                0.54871,                0.37636,                 1.0243,                0.99904,                      1,                  0.995,                0.96897,                0.35638,                0.21304,                0.82123,               0.002872,               0.002872,               0.002872
                     38,                0.50694,                0.32897,                 1.0228,                0.99924,                      1,                  0.995,                0.96383,                0.32663,                0.21046,                0.80162,               0.002674,               0.002674,               0.002674
                     39,                0.53081,                0.34417,                 1.0369,                0.99913,                      1,                  0.995,                0.95851,                0.32125,                0.20423,                0.80078,               0.002476,               0.002476,               0.002476
                     40,                0.40408,                0.24887,                0.98335,                0.99929,                      1,                  0.995,                0.96158,                0.36864,                0.22581,                0.82745,               0.002278,               0.002278,               0.002278
                     41,                0.43299,                0.25558,                0.99516,                0.99925,                      1,                  0.995,                0.96728,                0.33252,                0.20952,                0.81088,                0.00208,                0.00208,                0.00208
                     42,                0.39998,                0.23917,                0.97231,                0.99904,                      1,                  0.995,                0.96578,                0.31199,                0.19311,                0.80042,               0.001882,               0.001882,               0.001882
                     43,                0.38347,                0.22811,                 0.9612,                0.99926,                      1,                  0.995,                0.96808,                0.30529,                 0.1931,                0.79388,               0.001684,               0.001684,               0.001684
                     44,                0.39496,                0.23186,                0.96762,                 0.9991,                      1,                  0.995,                0.96723,                0.30193,                0.18479,                0.79365,               0.001486,               0.001486,               0.001486
                     45,                0.38522,                0.22928,                 0.9559,                0.99909,                      1,                  0.995,                0.97495,                0.31057,                0.18908,                0.79365,               0.001288,               0.001288,               0.001288
                     46,                0.38216,                0.22963,                0.94379,                0.99925,                      1,                  0.995,                 0.9716,                0.31386,                0.19276,                0.79694,                0.00109,                0.00109,                0.00109
                     47,                0.36869,                0.21738,                0.93721,                0.99925,                      1,                  0.995,                0.96892,                 0.3198,                  0.201,                0.80684,               0.000892,               0.000892,               0.000892
                     48,                0.35054,                 0.2132,                0.92651,                0.99925,                      1,                  0.995,                0.97059,                0.30895,                0.18903,                0.80392,               0.000694,               0.000694,               0.000694
                     49,                0.35376,                0.20691,                0.94119,                0.99924,                      1,                  0.995,                0.97387,                0.31383,                0.18281,                0.80283,               0.000496,               0.000496,               0.000496
